fid,lat,lon,Annual_WS,Annual_WD,fid_2,DN
"388",37.655,126.992,5.08,284.94,"1","25"
"399",37.654,127.026,2.58,301.94,"2","30"
"387",37.645,127.026,2.49,299.11,"3","29"
"398",37.645,127.038,2.52,306.56,"3","29"
"399",37.654,127.026,2.58,301.94,"3","29"
"400",37.654,127.038,2.58,309.53,"3","29"
"401",37.663,127.027,2.68,302.49,"3","29"
"402",37.663,127.038,2.64,310.52,"3","29"
"426",37.644,127.073,2.58,300.77,"4","23"
"430",37.645,127.061,2.58,300.47,"4","23"
"431",37.654,127.062,2.62,303.96,"4","23"
"432",37.654,127.073,2.57,304.68,"4","23"
"433",37.654,127.085,2.7,323.75,"4","23"
"435",37.663,127.073,2.57,312.24,"4","23"
"434",37.663,127.062,2.68,312.18,"4","23"
"436",37.663,127.085,2.86,331.49,"4","23"
"437",37.672,127.062,2.76,324.44,"4","23"
"438",37.672,127.073,2.76,324.13,"4","23"
"387",37.645,127.026,2.49,299.11,"5","28"
"398",37.645,127.038,2.52,306.56,"5","28"
"399",37.654,127.026,2.58,301.94,"5","28"
"400",37.654,127.038,2.58,309.53,"5","28"
"401",37.663,127.027,2.68,302.49,"5","28"
"402",37.663,127.038,2.64,310.52,"5","28"
"476",37.655,126.945,2.98,162.88,"6","25"
"475",37.646,126.956,3.65,127.12,"6","25"
"385",37.645,127.003,3.63,289.2,"7","21"
"386",37.645,127.015,2.77,292.57,"7","21"
"389",37.654,127.003,3.62,287.85,"7","21"
"390",37.654,127.015,2.76,293.34,"7","21"
"387",37.645,127.026,2.49,299.11,"8","27"
"390",37.654,127.015,2.76,293.34,"8","27"
"393",37.664,127.015,2.88,292.8,"8","27"
"398",37.645,127.038,2.52,306.56,"8","27"
"399",37.654,127.026,2.58,301.94,"8","27"
"400",37.654,127.038,2.58,309.53,"8","27"
"401",37.663,127.027,2.68,302.49,"8","27"
"402",37.663,127.038,2.64,310.52,"8","27"
"404",37.673,127.027,2.92,303.58,"8","27"
"405",37.672,127.038,2.79,311.64,"8","27"
"298",37.636,127.015,2.91,294.37,"9","22"
"297",37.636,127.003,3.72,294.37,"9","22"
"385",37.645,127.003,3.63,289.2,"9","22"
"386",37.645,127.015,2.77,292.57,"9","22"
"389",37.654,127.003,3.62,287.85,"9","22"
"390",37.654,127.015,2.76,293.34,"9","22"
"381",37.636,127.026,2.54,297.8,"10","26"
"382",37.636,127.038,2.49,302.99,"10","26"
"387",37.645,127.026,2.49,299.11,"10","26"
"390",37.654,127.015,2.76,293.34,"10","26"
"393",37.664,127.015,2.88,292.8,"10","26"
"395",37.673,127.015,3.16,294.64,"10","26"
"397",37.682,127.015,3.63,299.28,"10","26"
"398",37.645,127.038,2.52,306.56,"10","26"
"399",37.654,127.026,2.58,301.94,"10","26"
"400",37.654,127.038,2.58,309.53,"10","26"
"401",37.663,127.027,2.68,302.49,"10","26"
"402",37.663,127.038,2.64,310.52,"10","26"
"403",37.663,127.05,2.65,313.26,"10","26"
"404",37.673,127.027,2.92,303.58,"10","26"
"405",37.672,127.038,2.79,311.64,"10","26"
"406",37.672,127.05,2.75,320.05,"10","26"
"407",37.645,127.05,2.55,305.19,"10","26"
"408",37.654,127.05,2.57,307.82,"10","26"
"409",37.682,127.027,3.25,302.89,"10","26"
"410",37.682,127.039,3,309.39,"10","26"
"383",37.635,127.049,2.54,304.29,"10","26"
"295",37.627,127.014,2.94,301,"11","23"
"298",37.636,127.015,2.91,294.37,"11","23"
"297",37.636,127.003,3.72,294.37,"11","23"
"296",37.636,126.991,4.7,296.82,"11","23"
"384",37.645,126.991,4.8,287.85,"11","23"
"385",37.645,127.003,3.63,289.2,"11","23"
"386",37.645,127.015,2.77,292.57,"11","23"
"388",37.655,126.992,5.08,284.94,"11","23"
"389",37.654,127.003,3.62,287.85,"11","23"
"390",37.654,127.015,2.76,293.34,"11","23"
"392",37.664,127.003,3.85,284.19,"11","23"
"393",37.664,127.015,2.88,292.8,"11","23"
"425",37.635,127.108,2.73,297.53,"12","25"
"429",37.644,127.108,2.78,305.12,"12","25"
"366",37.607,127.107,2.89,268.64,"13","25"
"368",37.616,127.107,2.81,277.47,"13","25"
"452",37.609,126.933,3.25,350.77,"14","28"
"366",37.607,127.107,2.89,268.64,"15","25"
"316",37.58,127.095,3.2,251.88,"16","22"
"319",37.589,127.095,2.86,245.27,"16","22"
"320",37.589,127.107,3.37,252.38,"17","24"
"275",37.57,127.165,2.99,279.94,"18","26"
"309",37.569,127.176,2.96,277.7,"18","26"
"313",37.57,127.095,3.26,319.96,"20","23"
"312",37.571,127.083,2.89,291.36,"20","23"
"315",37.58,127.084,2.86,275.22,"20","23"
"316",37.58,127.095,3.2,251.88,"20","23"
"320",37.589,127.107,3.37,252.38,"20","23"
"318",37.589,127.084,2.82,277.51,"20","23"
"319",37.589,127.095,2.86,245.27,"20","23"
"322",37.598,127.084,2.79,285,"20","23"
"364",37.598,127.107,3.06,251.48,"20","23"
"323",37.598,127.095,2.77,266.86,"20","23"
"31",37.564,126.781,3.82,290.73,"21","26"
"210",37.571,127.002,3.05,300.31,"22","22"
"537",37.581,127.002,3.09,311.64,"22","22"
"538",37.571,127.013,2.99,301.15,"22","22"
"539",37.58,127.014,3.01,307.54,"22","22"
"548",37.562,127.002,3.2,293.04,"22","22"
"551",37.562,127.013,3.05,295.49,"22","22"
"304",37.561,127.13,2.94,292.36,"23","26"
"310",37.562,126.967,3.18,318.06,"24","22"
"5",37.572,126.967,3.29,318.12,"24","22"
"6",37.572,126.979,3.16,314.18,"24","22"
"545",37.562,126.979,3.18,315,"24","22"
"310",37.562,126.967,3.18,318.06,"25","23"
"5",37.572,126.967,3.29,318.12,"25","23"
"558",37.553,126.967,3.19,312.22,"25","23"
"279",37.581,126.979,3.17,316.42,"25","23"
"6",37.572,126.979,3.16,314.18,"25","23"
"1",37.571,126.99,3.13,305.21,"25","23"
"7",37.581,126.99,3.13,315.9,"25","23"
"210",37.571,127.002,3.05,300.31,"25","23"
"327",37.59,127.002,3.2,314.67,"25","23"
"328",37.59,127.014,3.02,310.64,"25","23"
"537",37.581,127.002,3.09,311.64,"25","23"
"538",37.571,127.013,2.99,301.15,"25","23"
"539",37.58,127.014,3.01,307.54,"25","23"
"545",37.562,126.979,3.18,315,"25","23"
"547",37.562,126.99,3.29,300.78,"25","23"
"548",37.562,127.002,3.2,293.04,"25","23"
"551",37.562,127.013,3.05,295.49,"25","23"
"553",37.553,126.978,3.19,316.88,"25","23"
"274",37.57,127.153,3,282.7,"26","27"
"272",37.561,127.153,2.93,279.25,"26","27"
"276",37.551,127.164,2.88,270.78,"26","27"
"273",37.56,127.165,2.9,274.57,"26","27"
"275",37.57,127.165,2.99,279.94,"26","27"
"277",37.551,127.176,2.81,268,"26","27"
"309",37.569,127.176,2.96,277.7,"26","27"
"308",37.56,127.176,2.89,271.9,"26","27"
"559",37.544,126.967,3.24,303.51,"27","24"
"557",37.544,126.978,3.19,308.69,"27","24"
"480",37.563,126.955,3.32,319.43,"27","24"
"478",37.572,126.955,3.49,322.93,"27","24"
"310",37.562,126.967,3.18,318.06,"27","24"
"4",37.581,126.967,3.43,314.06,"27","24"
"5",37.572,126.967,3.29,318.12,"27","24"
"496",37.553,126.955,3.27,313.19,"27","24"
"558",37.553,126.967,3.19,312.22,"27","24"
"376",37.617,127.026,2.68,304.94,"27","24"
"291",37.617,127.014,2.85,303.39,"27","24"
"290",37.617,127.003,3.33,305.44,"27","24"
"377",37.617,127.037,2.64,303.59,"27","24"
"289",37.618,126.991,3.93,313.16,"27","24"
"379",37.626,127.038,2.56,303.64,"27","24"
"378",37.626,127.026,2.64,302.52,"27","24"
"294",37.627,127.003,3.58,302.36,"27","24"
"295",37.627,127.014,2.94,301,"27","24"
"293",37.627,126.991,4.38,307.77,"27","24"
"298",37.636,127.015,2.91,294.37,"27","24"
"381",37.636,127.026,2.54,297.8,"27","24"
"297",37.636,127.003,3.72,294.37,"27","24"
"296",37.636,126.991,4.7,296.82,"27","24"
"384",37.645,126.991,4.8,287.85,"27","24"
"386",37.645,127.015,2.77,292.57,"27","24"
"387",37.645,127.026,2.49,299.11,"27","24"
"388",37.655,126.992,5.08,284.94,"27","24"
"389",37.654,127.003,3.62,287.85,"27","24"
"390",37.654,127.015,2.76,293.34,"27","24"
"391",37.664,126.992,5.29,275.73,"27","24"
"392",37.664,127.003,3.85,284.19,"27","24"
"393",37.664,127.015,2.88,292.8,"27","24"
"394",37.673,127.004,4.15,281.4,"27","24"
"279",37.581,126.979,3.17,316.42,"27","24"
"6",37.572,126.979,3.16,314.18,"27","24"
"8",37.59,126.979,3.35,323.18,"27","24"
"280",37.599,126.979,3.64,325.62,"27","24"
"1",37.571,126.99,3.13,305.21,"27","24"
"7",37.581,126.99,3.13,315.9,"27","24"
"281",37.599,126.991,3.58,317.78,"27","24"
"369",37.59,126.991,3.32,321.98,"27","24"
"285",37.608,126.991,3.71,313.35,"27","24"
"327",37.59,127.002,3.2,314.67,"27","24"
"282",37.599,127.002,3.3,309.29,"27","24"
"286",37.608,127.003,3.25,305.01,"27","24"
"328",37.59,127.014,3.02,310.64,"27","24"
"283",37.599,127.014,3,307.22,"27","24"
"287",37.608,127.014,2.88,303.69,"27","24"
"278",37.58,127.025,2.95,302.61,"27","24"
"231",37.59,127.025,2.93,307.06,"27","24"
"299",37.608,127.026,2.77,305.29,"27","24"
"329",37.599,127.026,2.88,306.67,"27","24"
